ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"91.107.154.214","elite","AS24940","DE","Hetzner Online AG","14","Hetzner Online AG","80","http","52","100","29","29","2025-03-20T10:29:00.068Z","108"
"176.105.220.74","transparent","AS24812","UA","NPK Home-Net Ltd.","47","NPK Home-Net Ltd","3129","http","101","99","1980","1991","2025-03-20T10:06:00.002Z","2482"
"217.144.187.208","elite","AS210644","DE","Aeza International LTD","7","Aeza International LTD","8118","http","394","100","141","141","2025-03-20T10:12:16.974Z","3301"
"49.4.117.146","transparent","AS55990","CN","Huawei Cloud Service data center","176","Huawei Public Cloud Service","3128","http","405","99","1199","1211","2025-03-20T10:19:04.676Z","383"
"178.165.42.166","elite","AS34700","UA","Maxnet Ltd","38","Maxnet Ltd.","3128","http","416","100","1","1","2025-03-20T10:28:17.685Z","594"
"36.37.224.125","transparent","AS38623","KH","VIETTEL (CAMBODIA) PTE., LTD","233","Viettel (cambodia) Pte., Ltd.","8080","http","470","100","120","120","2025-03-20T10:28:44.759Z","56"
"207.180.234.234","transparent","AS51167","DE","Contabo GmbH","7","Contabo GmbH","3128","http","480","100","2555","2564","2025-03-20T10:23:05.487Z","882"
"43.156.12.51","elite","AS132203","SG","Shenzhen Tencent Computer Systems Company Limited","310","Tencent Cloud Computing","8080","http","635","100","1","1","2025-03-20T10:28:53.604Z","96"
"47.74.226.8","elite","AS45102","SG","Alibaba Cloud LLC","244","Alibaba Cloud - SG","5001","http","712","71","5","7","2025-03-20T10:28:15.482Z","1604"
"49.0.87.62","elite","AS133481","TH","AIS-Fibre","207","N/A","8080","http","824","100","124","124","2025-03-20T10:28:41.961Z","71"
"61.174.243.28","elite","AS136190","CN","China Telecom","231","N/A","10916","http","984","93","122","131","2025-03-20T10:30:10.091Z","70"
"72.10.160.173","elite","N/A","CA","GloboTech Communications","93","N/A","12841","http","1509","100","30","30","2025-03-20T10:00:23.966Z","1097"
"116.203.7.46","transparent","AS24940","DE","Hetzner Online GmbH","101","Hetzner","8080","http","1986","93","69","74","2025-03-20T10:03:18.376Z","4787"
"69.49.228.101","transparent","N/A","US","Network Solutions, LLC","100","N/A","3128","http","2094","100","29","29","2025-03-20T10:16:49.773Z","434"
"162.223.90.130","elite","AS19084","US","ColoUp","103","ColoUp","80","http","2098","100","30","30","2025-03-20T10:09:05.791Z","4574"
"67.43.227.226","elite","N/A","CA","GloboTech Communications","102","N/A","15987","http","2222","100","119","119","2025-03-20T10:14:19.965Z","722"
"45.92.177.60","elite","N/A","CN","JSC Selectel","37","N/A","8080","http","2417","100","22","22","2025-03-20T10:04:43.375Z","420"
"139.9.116.150","elite","AS55990","CN","Huawei Cloud Service data center","167","Huawei Public Cloud Service","8520","http","2578","42","10","24","2025-03-20T10:11:34.863Z","4289"
"62.33.53.248","transparent","AS20485","RU","TRANS-TELECOM","45","N/A","3128","http","2598","94","263","279","2025-03-20T10:20:26.198Z","4995"
"101.255.118.9","transparent","AS38511","ID","PT Remala Abadi","174","N/A","3127","http","2677","100","22","22","2025-03-20T10:18:51.470Z","1226"
"67.43.228.251","elite","AS36666","CA","GloboTech Communications","93","N/A","23275","http","2690","100","114","114","2025-03-20T10:08:23.081Z","791"
"103.219.75.2","transparent","AS135465","ID","Bitech Networks","254","N/A","8080","http","2721","99","127","128","2025-03-20T10:07:04.967Z","4613"
"61.8.70.118","transparent","AS4800","ID","PT Aplikanusa Lintasarta","788","N/A","2024","http","2771","93","14","15","2025-03-20T10:11:29.387Z","1132"
"67.43.227.227","elite","N/A","CA","GloboTech Communications","103","N/A","29577","http","2772","100","30","30","2025-03-20T10:11:29.386Z","1312"
"103.97.140.159","transparent","AS141071","ID","PT Jembatan Data Pangrango","174","PT Apik Media Inovasi","8181","http","2800","93","26","28","2025-03-20T10:16:23.163Z","4175"
"43.163.96.95","elite","AS132203","SG","Shenzhen Tencent Computer Systems Company Limited","308","Tencent Cloud Computing (Beijing) Co., Ltd","3128","http","2804","100","24","24","2025-03-20T10:18:19.700Z","2171"
"182.253.6.236","transparent","AS17451","ID","Biznet Networks","170","Loka Mampang Indah Realty","8080","http","2811","100","8","8","2025-03-20T10:18:19.699Z","4492"
"116.58.239.6","transparent","AS131090","TH","CAT Telecom Public Company Limited","198","CAT BB","8080","http","2995","100","8","8","2025-03-20T10:18:34.197Z","1795"
"159.203.61.169","elite","N/A","CA","DigitalOcean, LLC","102","N/A","8080","http","3002","97","29","30","2025-03-20T10:10:39.501Z","3603"
"200.110.173.17","transparent","AS27951","CO","Media Commerce Partners S.A","175","URB.E","999","http","3089","100","8","8","2025-03-20T10:22:36.382Z","4992"
"119.252.251.81","transparent","AS2042","CN","zhelet limited","243","Dongguan JUXUN Network Technology Co., Ltd","3128","http","3094","98","359","368","2025-03-20T10:12:05.683Z","4300"
"223.205.186.103","transparent","AS45758","TH","Triple T Broadband Public Company Limited","189","Triple T Broadband Public Company Limited","8080","http","3189","100","1","1","2025-03-20T10:28:59.083Z","58"
"81.169.213.169","elite","AS6724","DE","Strato AG","16","Strato AG","8888","http","3214","100","126","126","2025-03-20T10:03:14.395Z","504"
"142.93.202.130","elite","N/A","US","DigitalOcean, LLC","92","N/A","3128","http","3294","100","22","22","2025-03-20T10:09:41.186Z","599"
"139.9.63.116","transparent","AS55990","CN","Huawei Cloud Service data center","252","Huawei Public Cloud Service","3128","http","3305","76","22","29","2025-03-20T10:03:36.397Z","2295"
"178.251.111.18","transparent","AS35297","UA","Dataline LLC","44","Shorkin RO","8080","http","3416","100","15","15","2025-03-20T10:14:53.486Z","4712"
"81.62.179.218","transparent","N/A","CH","Swisscom (Schweiz) AG","18","N/A","5472","http","3420","50","15","30","2025-03-20T10:16:41.571Z","4807"
"212.123.230.250","transparent","AS8220","NL","COLT Technology Services Group Limited","14","Axiom","8181","http","3421","100","6","6","2025-03-20T10:16:41.570Z","4676"
"103.245.205.226","transparent","AS9441","BD","Next Online Limited","181","Nextonline Limited","6969","http","3487","100","129","129","2025-03-20T10:13:25.597Z","87"
"159.65.230.46","elite","N/A","US","DigitalOcean, LLC","93","N/A","8888","http","3614","100","122","122","2025-03-20T10:17:07.492Z","1015"
"47.56.110.204","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","314","Alibaba.com LLC","8989","http","3669","99","125","126","2025-03-20T10:01:11.463Z","309"
"72.10.160.170","elite","AS36666","CA","GloboTech Communications","96","N/A","8457","http","3673","100","30","30","2025-03-20T10:02:34.868Z","473"
"139.162.163.203","elite","AS63949","DE","Akamai Technologies, Inc.","3","Linode, LLC","8123","http","3723","100","15","15","2025-03-20T10:04:03.476Z","5067"
"62.101.137.150","transparent","AS8400","RS","TELEKOM SRBIJA a.d.","23","Telekom","8080","http","3878","100","24","24","2025-03-20T10:08:39.686Z","905"
"72.10.160.172","elite","AS36666","CA","GloboTech Communications","93","N/A","4439","http","3878","100","29","29","2025-03-20T10:09:47.492Z","230"
"38.156.73.51","transparent","AS202561","TR","High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.","63","High Speed Telekomunikasyon ve Haberlesme Hizmetleri Ltd Sti","8080","http","3990","100","23","23","2025-03-20T10:26:06.006Z","690"
"221.167.81.122","transparent","AS4766","KR","Korea Telecom","271","Kornet","3120","http","3998","100","30","30","2025-03-20T10:01:04.373Z","253"
"36.151.194.43","elite","AS56046","CN","China Mobile Communications Corporation","314","China Mobile Communications Corporation","8087","http","4002","100","14","14","2025-03-20T10:26:42.875Z","4608"
"89.110.78.230","elite","N/A","UA","Servers Tech Fzco","11","N/A","80","http","4072","100","24","24","2025-03-20T10:03:04.267Z","3094"
"103.19.59.168","transparent","AS132637","ID","BITSNET","182","N/A","1080","http","4087","100","46","46","2025-03-20T10:02:59.985Z","629"
