ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"27.79.239.226","elite","AS7552","VN","Viettel Corporation","405","VIETEL","16000","http","5001","100","29","29","2025-03-20T10:30:23.275Z","57"
"58.243.224.244","elite","AS140726","CN","CNC Group CHINA169 AnHui province network","203","N/A","8085","http","5001","97","29","30","2025-03-20T10:30:15.766Z","59"
"61.174.243.28","elite","AS136190","CN","China Telecom","231","N/A","10916","http","984","93","122","131","2025-03-20T10:30:10.091Z","70"
"118.113.247.163","elite","AS4134","CN","Chinanet","281","Chinanet SC","2324","http","5003","100","1","1","2025-03-20T10:29:48.565Z","69"
"58.187.175.215","elite","AS18403","VN","FPT Telecom Company","378","Vietnam Internet Network Information Center","16000","http","5000","100","28","28","2025-03-20T10:29:38.767Z","37"
"222.68.37.112","elite","AS4812","CN","China Telecom (Group)","231","Chinanet SH","1080","http","5002","97","29","30","2025-03-20T10:29:22.212Z","70"
"117.102.77.201","elite","AS17451","ID","BIZNET","188","N/A","4145","socks4","1","98","2433","2481","2025-03-20T10:29:19.999Z","59"
"222.68.38.14","elite","AS4812","CN","China Telecom (Group)","227","Chinanet SH","1080","http","5002","10","3","29","2025-03-20T10:29:17.714Z","67"
"46.107.230.122","elite","AS58098","HU","Szatmarnet","31","N/A","1080","socks4","1","100","15","15","2025-03-20T10:29:12.163Z","62"
"188.117.108.66","elite","AS41176","SA","Sahara Net IP Class","214","N/A","3128","http","5002","100","1","1","2025-03-20T10:29:07.151Z","45"
"162.0.220.234","elite","AS22612","US","Namecheap, Inc.","151","Namecheap, Inc.","12644","socks4","1","100","2586","2597","2025-03-20T10:29:01.945Z","46"
"50.62.81.217","elite","AS398101","US","GoDaddy.com, LLC","141","GoDaddy.com, LLC","41162","socks4","1","100","1","1","2025-03-20T10:29:01.554Z","71"
"91.107.154.214","elite","AS24940","DE","Hetzner Online AG","14","Hetzner Online AG","80","http","52","100","29","29","2025-03-20T10:29:00.068Z","108"
"223.205.186.103","transparent","AS45758","TH","Triple T Broadband Public Company Limited","189","Triple T Broadband Public Company Limited","8080","http","3189","100","1","1","2025-03-20T10:28:59.083Z","58"
"188.166.229.121","elite","AS14061","SG","DigitalOcean, LLC","178","Digitalocean","80","http","5001","100","6","6","2025-03-20T10:28:59.753Z","70"
"43.156.12.51","elite","AS132203","SG","Shenzhen Tencent Computer Systems Company Limited","310","Tencent Cloud Computing","8080","http","635","100","1","1","2025-03-20T10:28:53.604Z","96"
"188.117.108.68","elite","AS41176","SA","Sahara Net IP Class","261","N/A","3128","http","5001","100","1","1","2025-03-20T10:28:52.464Z","62"
"36.37.224.125","transparent","AS38623","KH","VIETTEL (CAMBODIA) PTE., LTD","233","Viettel (cambodia) Pte., Ltd.","8080","http","470","100","120","120","2025-03-20T10:28:44.759Z","56"
