Proxy,Type,Country,Latency (s),Speed (B/s),Status
91.107.154.214:80,HTTP,Germany,0.5041,0.00,WORKING
162.223.90.130:80,HTTP,United States,0.7644,0.00,WORKING
159.203.61.169:8080,HTTP,Canada,0.6202,0.00,WORKING
47.74.226.8:5001,HTTP,Singapore,0.9951,0.00,WORKING
101.255.118.9:3127,Unknown,Indonesia,2.0561,0.00,WORKING
81.169.213.169:8888,HTTP,Germany,0.8478,0.00,WORKING
47.56.110.204:8989,HTTP,Hong Kong,1.2439,0.00,WORKING
89.110.78.230:80,HTTP,The Netherlands,3.0214,0.00,WORKING
79.121.102.227:8080,HTTP,Hungary,4.6765,0.00,WORKING
139.59.1.14:80,HTTP,India,0.3204,0.00,WORKING
188.117.108.66:3128,HTTP,Saudi Arabia,1.5909,0.00,WORKING
188.117.108.68:3128,HTTP,Saudi Arabia,1.6198,0.00,WORKING
58.243.224.244:8085,HTTP,China,3.1268,0.00,WORKING
60.188.102.225:18080,Unknown,China,5.4435,0.00,WORKING
198.49.68.80:80,HTTP,United States,1.7051,0.00,WORKING
216.229.112.25:8080,HTTP,United States,4.9677,0.00,WORKING
43.156.12.51:8080,N/A,N/A,N/A,N/A,FAILED
207.180.234.234:3128,N/A,N/A,N/A,N/A,FAILED
72.10.160.173:12841,N/A,N/A,N/A,N/A,FAILED
67.43.227.226:15987,N/A,N/A,N/A,N/A,FAILED
69.49.228.101:3128,N/A,N/A,N/A,N/A,FAILED
67.43.228.251:23275,N/A,N/A,N/A,N/A,FAILED
45.92.177.60:8080,N/A,N/A,N/A,N/A,FAILED
67.43.227.227:29577,N/A,N/A,N/A,N/A,FAILED
119.252.251.81:3128,N/A,N/A,N/A,N/A,FAILED
139.9.116.150:8520,N/A,N/A,N/A,N/A,FAILED
142.93.202.130:3128,N/A,N/A,N/A,N/A,FAILED
217.144.187.208:8118,N/A,N/A,N/A,N/A,FAILED
178.165.42.166:3128,N/A,N/A,N/A,N/A,FAILED
176.105.220.74:3129,N/A,N/A,N/A,N/A,FAILED
36.37.224.125:8080,N/A,N/A,N/A,N/A,FAILED
49.0.87.62:8080,N/A,N/A,N/A,N/A,FAILED
61.174.243.28:10916,N/A,N/A,N/A,N/A,FAILED
116.203.7.46:8080,N/A,N/A,N/A,N/A,FAILED
62.33.53.248:3128,N/A,N/A,N/A,N/A,FAILED
103.219.75.2:8080,N/A,N/A,N/A,N/A,FAILED
72.10.160.170:8457,N/A,N/A,N/A,N/A,FAILED
61.8.70.118:2024,N/A,N/A,N/A,N/A,FAILED
103.97.140.159:8181,N/A,N/A,N/A,N/A,FAILED
139.162.163.203:8123,N/A,N/A,N/A,N/A,FAILED
43.163.96.95:3128,N/A,N/A,N/A,N/A,FAILED
72.10.160.172:4439,N/A,N/A,N/A,N/A,FAILED
159.65.230.46:8888,N/A,N/A,N/A,N/A,FAILED
182.253.6.236:8080,N/A,N/A,N/A,N/A,FAILED
116.58.239.6:8080,N/A,N/A,N/A,N/A,FAILED
200.110.173.17:999,N/A,N/A,N/A,N/A,FAILED
49.4.117.146:3128,N/A,N/A,N/A,N/A,FAILED
43.156.59.228:80,N/A,N/A,N/A,N/A,FAILED
223.205.186.103:8080,N/A,N/A,N/A,N/A,FAILED
41.220.138.246:8040,N/A,N/A,N/A,N/A,FAILED
67.43.227.228:14337,N/A,N/A,N/A,N/A,FAILED
178.251.111.18:8080,N/A,N/A,N/A,N/A,FAILED
81.62.179.218:5472,N/A,N/A,N/A,N/A,FAILED
139.9.63.116:3128,N/A,N/A,N/A,N/A,FAILED
212.123.230.250:8181,N/A,N/A,N/A,N/A,FAILED
103.245.205.226:6969,N/A,N/A,N/A,N/A,FAILED
62.101.137.150:8080,N/A,N/A,N/A,N/A,FAILED
36.77.217.161:8081,N/A,N/A,N/A,N/A,FAILED
38.156.73.51:8080,N/A,N/A,N/A,N/A,FAILED
221.167.81.122:3120,N/A,N/A,N/A,N/A,FAILED
185.151.151.166:3128,N/A,N/A,N/A,N/A,FAILED
222.68.38.14:1080,N/A,N/A,N/A,N/A,FAILED
83.219.145.106:3128,N/A,N/A,N/A,N/A,FAILED
222.68.37.112:1080,N/A,N/A,N/A,N/A,FAILED
196.204.83.237:1976,N/A,N/A,N/A,N/A,FAILED
27.76.131.181:5104,N/A,N/A,N/A,N/A,FAILED
118.113.247.163:2324,N/A,N/A,N/A,N/A,FAILED
212.98.139.70:8080,N/A,N/A,N/A,N/A,FAILED
94.249.220.135:49200,N/A,N/A,N/A,N/A,FAILED
180.190.200.77:8082,N/A,N/A,N/A,N/A,FAILED
209.141.54.136:5555,N/A,N/A,N/A,N/A,FAILED
58.187.175.215:16000,N/A,N/A,N/A,N/A,FAILED
36.151.194.43:8087,N/A,N/A,N/A,N/A,FAILED
188.166.229.121:80,N/A,N/A,N/A,N/A,FAILED
103.19.59.168:1080,N/A,N/A,N/A,N/A,FAILED
27.79.239.226:16000,N/A,N/A,N/A,N/A,FAILED
218.1.197.78:2324,N/A,N/A,N/A,N/A,FAILED
27.79.180.48:16000,N/A,N/A,N/A,N/A,FAILED
47.245.117.43:80,N/A,N/A,N/A,N/A,FAILED
36.136.27.2:4999,N/A,N/A,N/A,N/A,FAILED
178.16.130.81:80,N/A,N/A,N/A,N/A,FAILED
198.12.85.213:80,N/A,N/A,N/A,N/A,FAILED
65.108.203.37:28080,N/A,N/A,N/A,N/A,FAILED
111.132.16.238:3389,N/A,N/A,N/A,N/A,FAILED
171.41.128.4:2324,N/A,N/A,N/A,N/A,FAILED
58.209.137.156:8089,N/A,N/A,N/A,N/A,FAILED
103.24.213.141:8090,N/A,N/A,N/A,N/A,FAILED
27.189.133.76:8089,N/A,N/A,N/A,N/A,FAILED
58.33.109.114:2021,N/A,N/A,N/A,N/A,FAILED
111.132.16.13:3389,N/A,N/A,N/A,N/A,FAILED
61.164.204.130:4999,N/A,N/A,N/A,N/A,FAILED
159.65.221.25:80,N/A,N/A,N/A,N/A,FAILED
162.214.165.203:80,N/A,N/A,N/A,N/A,FAILED
103.97.140.76:8080,N/A,N/A,N/A,N/A,FAILED
121.224.156.149:8089,N/A,N/A,N/A,N/A,FAILED
46.64.137.233:80,N/A,N/A,N/A,N/A,FAILED
85.30.219.207:80,N/A,N/A,N/A,N/A,FAILED
114.229.213.210:8089,N/A,N/A,N/A,N/A,FAILED
222.68.38.115:1080,N/A,N/A,N/A,N/A,FAILED
117.68.110.16:9443,N/A,N/A,N/A,N/A,FAILED
